date,weather_code,temperature_2m_max,wind_speed_10m_max,wind_direction_10m_dominant
2023-03-19 00:00:00+00:00,3.0,5.8910003,26.758923,282.7771
2023-03-20 00:00:00+00:00,0.0,9.391,17.49615,250.48135
2023-03-21 00:00:00+00:00,3.0,13.740999,16.575644,245.06924
2023-03-22 00:00:00+00:00,3.0,16.441,15.683774,214.0194
2023-03-23 00:00:00+00:00,63.0,16.841,22.73707,222.69043
2023-03-24 00:00:00+00:00,53.0,16.140999,18.532133,307.5243
2023-03-25 00:00:00+00:00,65.0,8.740999,27.952787,78.4679
2023-03-26 00:00:00+00:00,51.0,14.341,20.364674,276.3824
2023-03-27 00:00:00+00:00,61.0,16.591,17.388409,70.61133
2023-03-28 00:00:00+00:00,51.0,11.490999,16.65754,341.62637
2023-03-29 00:00:00+00:00,3.0,12.091,18.847641,291.2663
2023-03-30 00:00:00+00:00,71.0,7.1410003,22.545315,297.84378
2023-03-31 00:00:00+00:00,51.0,11.441,16.09969,194.78276
2023-04-01 00:00:00+00:00,61.0,20.741,30.589407,222.19745
2023-04-02 00:00:00+00:00,51.0,12.740999,26.019806,303.57425
2023-04-03 00:00:00+00:00,53.0,17.091,21.273533,169.22641
2023-04-04 00:00:00+00:00,3.0,23.091,13.53236,187.22708
2023-04-05 00:00:00+00:00,51.0,18.591,19.164717,95.084564
2023-04-06 00:00:00+00:00,51.0,23.890999,18.388212,280.5174
2023-04-07 00:00:00+00:00,3.0,16.691,16.58346,309.60464
2023-04-08 00:00:00+00:00,3.0,10.341,14.404499,358.96155
2023-04-09 00:00:00+00:00,3.0,13.641,11.440979,85.81503
2023-04-10 00:00:00+00:00,0.0,17.341,14.255272,229.1336
2023-04-11 00:00:00+00:00,3.0,21.741,21.647945,258.5816
2023-04-12 00:00:00+00:00,3.0,25.841,23.675304,275.33002
2023-04-13 00:00:00+00:00,0.0,29.041,16.279802,263.74713
2023-04-14 00:00:00+00:00,3.0,30.791,13.661038,238.93336
2023-04-15 00:00:00+00:00,63.0,23.491,15.716793,180.86804
2023-04-16 00:00:00+00:00,53.0,24.441,13.493999,138.36658
